code,name,brand,description
1,Expect41,Sanofi,Air data management score him start.
2,Whatever80,Lilly,Want spring tend consumer.
3,Store57,Sanofi,Court yourself impact defense result create shake realize.
4,Bring30,Novartis,Want wait bit trade join.
5,Budget58,Sanofi,Record her actually describe kid coach ball.
6,Policy32,Roche,Ago class hospital kind sit.
7,By55,Merck,Recognize enjoy join idea behind six.
8,Remain52,Lilly,Manager together perform result bit power center study.
9,Themselves94,Roche,Feel parent moment allow economy no.
10,Family33,Roche,Movie necessary everyone value.
11,Paper95,Sanofi,Painting behavior road key once yard plant.
12,Kitchen31,Pfizer,Cold trial war natural military.
13,Fact90,Pfizer,Board sometimes involve nice responsibility.
14,Maybe48,Lilly,Effort determine choose son travel amount.
15,Character13,Roche,Whose region teacher what best employee gas.
16,Believe84,Sanofi,Few dark sell scientist police.
17,Center33,Sanofi,Usually reason but example series young discover from.
18,Now17,Lilly,Standard past political born.
19,Apply72,Roche,Traditional heart administration particularly.
20,History92,Sanofi,Front imagine bit foot also throw.
21,Business84,Merck,Night like case smile.
22,New42,Novartis,Six low talk store.
23,Discuss35,Sanofi,Approach fund wear consider also.
24,Season41,Sanofi,Appear real life chair especially control than.
25,Particularly46,Pfizer,Test of clearly east local.
26,Tv30,GSK,Mean while data.
27,Fear68,Pfizer,Scientist dream responsibility care environment marriage.
28,Road61,Lilly,Account energy every himself along office.
29,Drop66,Roche,Although age interest.
30,Player15,Pfizer,Eye next wife provide require senior position.
31,Artist27,Roche,Want heavy tell can first.
32,These69,Novartis,Letter discussion but eight artist nearly national.
33,Anyone22,Novartis,Notice local choose use unit.
34,Later14,Sanofi,Radio almost finally cause.
35,Kind86,Pfizer,Simple station citizen them ability.
36,Explain58,Merck,Car school smile although minute draw public.
37,White36,Roche,Rule outside owner may per.
38,Blood24,Sanofi,Save step phone operation him safe bank.
39,Couple57,Roche,Size buy song produce year institution require.
40,Attention80,Sanofi,Involve improve good which system safe age.
41,Not95,Merck,Factor own reason history someone commercial.
42,Simply71,Sanofi,Here stuff seven position.
43,Perhaps64,Novartis,Choose bring majority their bed many.
44,Visit17,Novartis,Play bill again suggest.
45,Past16,Roche,Start to party investment hard both.
46,East69,Novartis,They idea someone pattern population simple.
47,Raise36,Lilly,Action charge near ready even response.
48,Long87,Merck,International audience entire you example within thus.
49,Protect55,Roche,Mean sit many behavior call.
50,Million12,Roche,Group surface himself model gun name.
